FMTNAME,TYPE,CODE,LABEL
ABNBRONC,N,Null or Missing,Not Reported
ABNBRONC,N,1,No Bronchoscopy
ABNBRONC,N,2,Bronchoscopy Results normal
ABNBRONC,N,3,"Bronchoscopy Results, Abnormal-purulent secretions"
ABNBRONC,N,4,"Bronchoscopy Results, Abnormal-aspiration of foreign body"
ABNBRONC,N,5,"Bronchoscopy Results, Abnormal-blood"
ABNBRONC,N,6,"Bronchoscopy Results, Abnormal-anatomy/other lesion"
ABNBRONC,N,7,"Bronchoscopy Results, Unknown"
ABNBRONC,N,998,Unknown if bronchoscopy performed
ABNBRONC,N,**OTHER**,Unknown
ABO,C,1,O
ABO,C,2,A
ABO,C,3,B
ABO,C,4,AB
ABO,C,5,A1
ABO,C,6,A2
ABO,C,7,A1B
ABO,C,8,A2B
ABO,C,998,UNKNOWN
ABOMAT,C,,Unknown
ABOMAT,C,1,Identical
ABOMAT,C,2,Compatible
ABOMAT,C,3,Incompatible
ACADLVLK,N,Null or Missing,Not Reported
ACADLVLK,N,1,Full academic load
ACADLVLK,N,2,Reduced academic load
ACADLVLK,N,3,Unable to participate in academics due to disease or cond
ACADLVLK,N,4,Unable to participate regularly in academics due to dialy
ACADLVLK,N,996,"Not Applicable, too young for school/ High School graduat"
ACADLVLK,N,998,Status Unknown
ACADLVLK,N,**OTHER**,Unknown
ACADPRG,N,Null or Missing,Not Reported
ACADPRG,N,1,Within One Grade Level of Peers
ACADPRG,N,2,Delayed Grade Level
ACADPRG,N,3,Special Education
ACADPRG,N,996,"Not Applicable, too young for school/ High School graduat"
ACADPRG,N,998,Status Unknown
ACADPRG,N,**OTHER**,Unknown
ALOCUS,N,Null or Missing,Not Reported
ALOCUS,N,0,0
ALOCUS,N,1,1
ALOCUS,N,2,2
ALOCUS,N,3,3
ALOCUS,N,9,9
ALOCUS,N,10,10
ALOCUS,N,11,11
ALOCUS,N,19,19
ALOCUS,N,23,23
ALOCUS,N,24,24
ALOCUS,N,25,25
ALOCUS,N,26,26
ALOCUS,N,28,28
ALOCUS,N,29,29
ALOCUS,N,30,30
ALOCUS,N,31,31
ALOCUS,N,32,32
ALOCUS,N,33,33
ALOCUS,N,34,34
ALOCUS,N,36,36
ALOCUS,N,43,43
ALOCUS,N,66,66
ALOCUS,N,68,68
ALOCUS,N,69,69
ALOCUS,N,74,74
ALOCUS,N,80,80
ALOCUS,N,97,Unknown
ALOCUS,N,98,No second antigen detected
ALOCUS,N,99,Not Tested
ALOCUS,N,101,01:01
ALOCUS,N,102,01:02
ALOCUS,N,201,02:01
ALOCUS,N,202,02:02
ALOCUS,N,203,02:03
ALOCUS,N,205,02:05
ALOCUS,N,206,02:06
ALOCUS,N,207,02:07
ALOCUS,N,210,210
ALOCUS,N,211,02:10
ALOCUS,N,218,02:18
ALOCUS,N,301,03:01
ALOCUS,N,302,03:02
ALOCUS,N,1101,11:01
ALOCUS,N,1102,11:02
ALOCUS,N,2402,24:02:00
ALOCUS,N,2403,24:03:00
ALOCUS,N,2601,26:01:00
ALOCUS,N,2602,26:02:00
ALOCUS,N,2603,26:03:00
ALOCUS,N,2901,29:01:00
ALOCUS,N,2902,29:02:00
ALOCUS,N,3001,30:01:00
ALOCUS,N,3002,30:02:00
ALOCUS,N,3204,32:04:00
